OPERAT_AIRLN_IATA_CD,OPERAT_FLIGHT_NBR,SCHD_LEG_DEP_LCL_DT,SCHD_LEG_DEP_AIRPRT_IATA_CD,FLIGHT_KEY_CD,F_CABIN_CD,C_CABIN_CD,W_CABIN_CD,Y_CABIN_CD,F_BRK_MSG_CREATE_TMS,C_BRK_MSG_CREATE_TMS,W_BRK_MSG_CREATE_TMS,Y_BRK_MSG_CREATE_TMS,F_BRKN_SEATS,C_BRKN_SEATS,W_BRKN_SEATS,Y_BRKN_SEATS
AA,100,2024-07-21,LAX,AA100LAX20240721,F,C,W,Y,2024-07-20 17:30:00,2024-07-20 17:30:00,2024-07-20 17:30:00,2024-07-20 17:30:00,1,2,0,3
AA,200,2024-07-21,JFK,AA200JFK20240721,F,C,W,Y,2024-07-20 19:00:00,2024-07-20 19:00:00,2024-07-20 19:00:00,2024-07-20 19:00:00,0,1,1,2
UA,300,2024-07-21,SFO,UA300SFO20240721,F,C,W,Y,2024-07-20 20:00:00,2024-07-20 20:00:00,2024-07-20 20:00:00,2024-07-20 20:00:00,1,0,2,4
UA,400,2024-07-21,ORD,UA400ORD20240721,F,C,W,Y,2024-07-20 21:30:00,2024-07-20 21:30:00,2024-07-20 21:30:00,2024-07-20 21:30:00,0,1,0,3
DL,500,2024-07-21,ATL,DL500ATL20240721,F,C,W,Y,2024-07-20 22:15:00,2024-07-20 22:15:00,2024-07-20 22:15:00,2024-07-20 22:15:00,1,1,1,2
DL,600,2024-07-21,SEA,DL600SEA20240721,F,C,W,Y,2024-07-20 23:00:00,2024-07-20 23:00:00,2024-07-20 23:00:00,2024-07-20 23:00:00,0,0,1,3
AA,101,2024-07-22,DFW,AA101DFW20240722,F,C,W,Y,2024-07-21 17:15:00,2024-07-21 17:15:00,2024-07-21 17:15:00,2024-07-21 17:15:00,1,1,0,2
UA,301,2024-07-22,EWR,UA301EWR20240722,F,C,W,Y,2024-07-21 18:30:00,2024-07-21 18:30:00,2024-07-21 18:30:00,2024-07-21 18:30:00,0,2,1,3
DL,501,2024-07-22,DTW,DL501DTW20240722,F,C,W,Y,2024-07-21 19:15:00,2024-07-21 19:15:00,2024-07-21 19:15:00,2024-07-21 19:15:00,1,0,1,2
AA,201,2024-07-22,MIA,AA201MIA20240722,F,C,W,Y,2024-07-21 19:45:00,2024-07-21 19:45:00,2024-07-21 19:45:00,2024-07-21 19:45:00,0,1,2,3
