OPERAT_AIRLN_IATA_CD,OPERAT_FLIGHT_NBR,SCHD_LEG_DEP_LCL_DT,SCHD_LEG_DEP_AIRPRT_IATA_CD,FLIGHT_KEY_CD,TRANS_TXT,SABRE_TRANS_UTC_TMS,SCHD_AIRCFT_TYPE_CD,SCHD_AIRCFT_CONFIG_CD,gfa_value_F,gfa_value_C,gfa_value_W,gfa_value_Y
AA,100,2024-07-21,LAX,AA100LAX20240721,GFA@F10/C20/W30/Y140,2024-07-20 18:00:00,773,1,10,20,30,140
AA,200,2024-07-21,JFK,AA200JFK20240721,GFA@F8/C30/W40/Y150,2024-07-20 19:30:00,77W,1,8,30,40,150
UA,300,2024-07-21,SFO,UA300SFO20240721,GFA@F12/C24/W36/Y180,2024-07-20 20:15:00,789,1,12,24,36,180
UA,400,2024-07-21,ORD,UA400ORD20240721,GFA@F6/C18/W24/Y200,2024-07-20 21:45:00,739,1,6,18,24,200
DL,500,2024-07-21,ATL,DL500ATL20240721,GFA@F14/C28/W42/Y160,2024-07-20 22:30:00,359,1,14,28,42,160
DL,600,2024-07-21,SEA,DL600SEA20240721,GFA@F8/C16/W24/Y190,2024-07-20 23:15:00,76W,1,8,16,24,190
AA,101,2024-07-22,DFW,AA101DFW20240722,GFA@F10/C22/W33/Y155,2024-07-21 17:30:00,773,1,10,22,33,155
UA,301,2024-07-22,EWR,UA301EWR20240722,GFA@F11/C26/W39/Y175,2024-07-21 18:45:00,789,1,11,26,39,175
DL,501,2024-07-22,DTW,DL501DTW20240722,GFA@F13/C27/W40/Y165,2024-07-21 19:30:00,359,1,13,27,40,165
AA,201,2024-07-22,MIA,AA201MIA20240722,GFA@F9/C32/W42/Y145,2024-07-21 20:00:00,77W,1,9,32,42,145    
